ID	Length	MXA (attomol/ul)	MXB (attomol/ul)
R2_153_1	664	0.134876796	0.134876796
R2_153_2	922	0.269753592	0.269753592
R2_153_3	1686	0.539507185	0.067438398
R2_28_1	997	0.067438398	0.539507185
R2_28_2	2547	0.134876796	1.079014369
R2_28_3	606	0.269753592	0.269753592
R2_32_1	868	0.067438398	4.316057478
R2_32_2	1235	0.134876796	1.079014369
R2_32_3	1148	0.269753592	2.158028739
R2_37_1	1143	0.033719199	0.0084298
R2_37_2	2187	0.067438398	0.0168596
R2_37_3	1083	0.134876796	0.033719199
R2_42_1	1367	0.033719199	0.067438398
R2_42_2	655	0.067438398	0.134876796
R2_42_3	558	0.134876796	0.269753592
R2_46_1	1921	0.0168596	0.033719199
R2_46_2	402	0.033719199	0.067438398
R2_46_3	1003	0.067438398	0.134876796
R2_53_1	1916	0.0168596	0.067438398
R2_53_2	1989	0.033719199	0.0168596
R2_53_3	1674	0.067438398	0.033719199
R2_59_1	2625	0.067438398	0.269753592
R2_59_2	2484	0.134876796	0.067438398
R2_59_3	1083	0.269753592	0.134876796
R2_76_1	908	0.0084298	0.134876796
R2_76_2	1030	0.0168596	0.269753592
R2_76_3	822	0.033719199	0.067438398
R2_38_1	829	0.003933907	0.12588501
R2_38_2	760	0.007867813	0.062942505
R2_38_3	872	0.015735626	0.031471252
R2_38_4	573	0.031471252	0.015735626
R2_45_1	1379	0.031471252	0.031471252
R2_45_2	1862	0.062942505	0.062942505
R2_45_3	1963	0.12588501	0.12588501
R2_45_4	1717	0.25177002	0.25177002
R2_72_1	1639	0.015735626	0.003933907
R2_72_2	1792	0.031471252	0.007867813
R2_72_3	1862	0.062942505	0.015735626
R2_72_4	1442	0.12588501	0.031471252
